Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
77	200.3775	72.632416	255.33586	-4.0036645	477.0	27.153337	23.5734	68.11749	-45.268272	390000	5.1498414e-09	595.0597	-0.008374032	-193.61136	0.7432201	0.009376048	0.095	79.0	385.52716970443726
78	236.8485	39.4987	275.718	132.26996	428.36365	38.36391	17.327269	88.21451	-13.186055	395000	-2.412796e-08	506.338	-0.009330273	-188.22632	0.7853449	0.012531858	0.1096	79.0	389.4788851737976
79	231.6685	55.16137	275.0246	67.505516	434.54544	46.961926	17.159369	108.29626	16.169456	400000	4.005432e-09	795.8268	-0.008527436	-673.6965	0.76697814	0.0038549446	0.0938	79.0	393.3873314857483
80	233.6729	20.363012	263.51102	183.12857	442.27274	49.53003	20.331589	96.861755	-14.79276	405000	5.0926207e-08	522.6581	-0.00959569	-239.43079	0.70838624	0.008923799	0.0784	79.0	397.64312052726746
81	202.39966	73.03433	266.77258	44.57051	454.54544	39.65885	16.456675	80.600235	0.38121665	410000	-8.010864e-09	557.0472	-0.007997443	-280.25894	0.7182022	0.004319609	0.0508	79.0	401.66673159599304
82	212.67267	49.786194	253.48077	64.21879	432.0	46.25675	16.719957	89.25218	7.6803236	415000	-5.1498414e-08	445.67606	-0.0059667183	-358.61127	0.80231446	0.005444793	0.056	79.0	405.7327070236206
83	238.6143	20.74612	279.28723	196.91144	393.91666	46.134266	21.026628	99.198006	-12.9688225	420000	1.2397766e-08	437.985	-0.007886373	-224.02928	0.7587753	0.0065083997	0.0622	79.0	409.5548007488251
84	169.94081	130.4021	277.67673	-145.63446	468.9	50.464108	19.405666	118.87993	10.986272	425000	-8.201599e-09	1633.6582	-0.006685667	-1432.958	0.74640065	0.0034808263	0.1068	79.0	413.56628370285034
85	147.56676	125.09623	250.38885	-117.93705	514.6667	13.982141	43.11097	103.06733	-146.19821	430000	-2.2888185e-09	1084.6263	-0.009461046	-617.93054	0.73888904	0.011867598	0.0788	79.0	417.2843165397644
86	207.5019	67.52596	260.3484	6.3570447	401.58334	33.74419	27.42661	107.88485	-71.3748	435000	-2.5749207e-09	979.3163	-0.008634684	-565.5279	0.7440524	0.009423841	0.0646	79.0	421.0892479419708
87	190.70071	99.50206	270.9727	-8.973326	384.07693	39.70554	20.710035	99.20109	-16.582052	440000	-1.1587143e-08	859.091	-0.011970996	-347.6622	0.76431936	0.0057369713	0.0758	79.0	424.815717458725
88	201.36945	57.97312	266.69427	75.29532	523.3333	38.662773	26.699131	101.52404	-30.908213	445000	-1.5258789e-09	770.2961	-0.010687707	-433.91626	0.7198963	0.012103231	0.1072	79.0	428.9173216819763
